MPN173	223036	223371	+
MPN174	223371	223628	+
MPN175	223632	224000	+
MPN176	224000	224335	+
MPN177	224338	224880	+
MPN178	224882	225067	+
MPN179	225061	225489	+
MPN180	225496	226050	+
MPN181	226051	226401	+
MPN182	226405	227064	+
MPN183	227068	227523	+
MPN184	227523	228956	+
MPN185	228950	229597	+
MPN186	229597	230343	+
MPN187	230343	230579	+
MPN188	230590	230703	+
MPN189	230703	231077	+
MPN190	231077	231442	+
MPN191	231448	232431	+
MPN192	232434	232808	+
MPN193	232792	233616	+
MPN194	233604	234515	+
MPN195	234508	235812	+
MPN196	235805	236536	+
MPN196.1	236318	236536	+
MPN197	236529	238364	+
MPN198	238364	239323	+
MPN199	239417	241699	+
MPN200	241983	244379	+
MPN200a	241575	241853	+
MPN201	244853	245569	+
MPN202	246049	246990	+
MPN203	246909	247292	+
MPN204	247655	248101	+
MPN205	248562	249878	+
MPN206	249933	250274	-
MPN207	250326	253148	+
MPN207a	250000	250293	+
MPN208	253758	254642	+
MPN209	254635	257253	+
MPN210	257240	259666	+
MPN211	259641	261614	+
MPN212	261617	262024	+
MPN213	262129	265221	+
MPN214	265218	265634	-
MPN215	265865	267079	+
MPN216	267072	268202	+
MPN217	268204	269475	+
MPN218	269438	271993	+
MPN218a	267638	267844	+
MPN219	272049	272462	+
MPN220	272462	273142	+
MPN221	273142	273708	+
MPN222	273701	274570	+
MPN223	274571	275509	+
MPN224	275499	276668	+
MPN225	276697	277116	+
MPN226	277170	277637	+
MPN227	277660	279726	+
MPN228	279783	280430	+
MPN229	280430	280930	+
MPN230	280920	281234	+
MPN231	281237	281686	+
MPN232	281673	283094	+
MPN233	283098	284462	+
MPN234	285190	286443	+
MPN235	286468	287190	+
MPN236	287388	288827	+
MPN237	288830	290266	+
MPN238	290256	291692	+
MPN239	291667	292335	+
MPN240	292328	293275	+
MPN241	293265	294107	+
MPN242	294140	294370	+
MPN243	294381	296561	+
MPN244	296561	297169	+
MPN245	297138	297719	-
MPN246	297760	298329	+
MPN247	298329	299108	+
MPN248	299099	300268	+
MPN249	300255	301091	+
MPN250	301113	302405	+
MPN251	302383	303030	+
MPN252	303037	304404	+
MPN253	304361	305044	+
MPN254	305066	305539	+
MPN255	305565	306320	+
MPN256	306313	306984	+
MPN257	306965	307981	+
MPN258	307996	309714	+
MPN259	309731	311284	+
MPN260	311284	312219	+
MPN261	312256	314391	+
MPN262	314381	315808	+
MPN263	315874	316182	+
MPN264	316194	317039	+
MPN265	317047	318087	-
MPN266	318144	318581	+
MPN267	318581	319360	+
MPN268	319360	319713	+
MPN269	319703	321184	+
MPN270	321187	321474	+
MPN271	321736	322491	+
MPN272	324197	324478	+
MPN273	324455	324889	-
MPN274	324858	325658	-
MPN275	325680	325982	+
MPN276	325954	326811	-
MPN277	326856	328325	+
MPN278	328285	331281	+
MPN279	329484	331229	+
MPN280	331360	333069	+
MPN281	333280	334413	+
MPN282	334768	335268	+
MPN283	336626	336826	+
MPN283a	337264	337512	+
MPN284	337770	340154	+
MPN285	341207	341533	+
MPN286	341636	343033	+
MPN287	343764	344120	+
MPN288	344716	347079	+
MPN289	347169	347732	+
MPN290	347871	348308	+
MPN291	348301	348891	-
MPN292	348875	349804	-
MPN293	349804	350358	-
MPN294	350397	351017	+
MPN295	351066	351728	+
MPN296	351728	351910	+
MPN297	351935	352384	+
MPN298	352387	352746	+
MPN299	352734	353534	+
MPN300	353535	355055	+
MPN301	355039	355665	+
MPN302	355685	356671	+
MPN303	356677	358203	+
MPN304	359183	359899	+
MPN305	359800	360396	+
MPN306	360644	361465	+
MPN307	361468	362397	+
MPN307.1	361783	362397	+
MPN308	362400	364097	+
MPN309	364231	365448	+
MPN310	365468	370924	+
MPN310.1	370424	370924	+
MPN311	370939	372012	+
MPN312	372002	372658	+
MPN313	372741	373013	-
MPN314	373414	373839	+
MPN315	373829	374755	+
MPN316	374758	376017	+
MPN317	376023	377165	+
MPN318	377208	378683	+
MPN319	378658	380169	+
MPN320	380664	381527	+
MPN321	381529	382011	+
MPN322	382018	383037	+
MPN323	383040	383501	+
MPN324	383525	385690	+
MPN325	385837	386139	+
MPN326	386132	386434	+
MPN327	386427	386741	+
MPN328	386734	387594	+
MPN329	387548	388024	+
MPN330	388014	388898	+
MPN331	388923	390257	+
MPN332	390328	392715	+
MPN333	392910	395162	+
MPN334	395165	396145	+
MPN335	396132	398357	+
MPN336	398358	399392	-
MPN337	399477	401342	+
MPN338	401345	403243	+
MPN339	403243	403917	+
MPN340	403921	405510	+
MPN341	405573	407720	+
MPN342	407861	409492	+
MPN343	409871	410863	+
MPN344	411383	411736	+
MPN345	412681	413301	+
MPN346	413431	413778	+
MPN347	413985	415115	+
MPN347a	415161	415295	+
MPN347b	415298	416032	+
MPN348	416070	416564	+
MPN349	416554	417399	+
MPN350	417391	418110	-
MPN351	418116	418757	-
MPN352	418741	420240	-
MPN353	420293	422155	-
MPN354	422139	423488	-
MPN355	423510	424238	-
MPN356	424241	425440	-
MPN357	425535	427511	-
MPN358	427679	429283	+
MPN359	429513	430289	+
MPN360	429602	429700	+
MPN361	430628	431707	+
MPN362	431707	433068	+
MPN363	433200	435580	+
MPN365	435924	436730	+
MPN366	436814	437632	+
MPN367	437563	438531	+
MPN368	439388	439762	+
MPN369	439894	440655	-
MPN370	441296	443509	+
MPN371	443552	444187	-
MPN372	444341	446116	+
MPN373	446127	446606	-
MPN374	447770	448459	-
MPN375	448805	449194	-
MPN376	449573	452995	-
MPN377	453422	453646	+
MPN378	453650	456268	+
MPN379	456272	457147	+
MPN380	457147	457980	+
MPN381	458126	459004	+
MPN382	458998	459600	+
MPN383	459530	460378	-
MPN384	460381	462762	-
MPN385	462763	463107	-
MPN386	463142	463831	-
MPN387	463979	465055	-
MPN388	465048	465449	-
MPN389	465427	466446	-
MPN390	466473	467846	-
MPN391	467847	469055	-
MPN392	469374	470357	-
MPN393	470379	471455	-
MPN394	471476	472915	-
MPN395	472983	473516	-
MPN396	473551	476466	-
MPN397	476509	478671	+
MPN398	478668	479324	-
MPN399	479324	480187	-
MPN400	480249	481997	-
MPN401	482765	483247	-
MPN402	483529	484980	+
MPN403	485125	485493	+
MPN404	485474	486514	+
MPN405	486521	487114	+
MPN406	487149	487403	+
MPN407	487508	490147	-
MPN407a	490249	490371	+
MPN408	490375	492657	+
MPN409	492730	494331	+
MPN410	494694	495140	+
MPN410.1	494862	495140	+
MPN411	495282	496040	-
MPN412	496634	497470	+
MPN413	497547	497966	+
MPN414	498076	499557	+
MPN415	499808	500950	+
MPN416	500943	501677	+
MPN417	501670	503298	+
MPN418	503299	503721	-
MPN419	503721	506423	-
MPN420	506475	507200	-
MPN421	507193	508620	-
MPN422	508751	509863	-
MPN423	509864	510253	-
MPN424	510253	510561	-
MPN425	510542	511588	-
MPN426	511594	514542	-
MPN427	514727	515599	+
MPN428	515605	516567	-
MPN429	516605	517834	-
MPN430	517837	518850	-
MPN431	518881	519834	-
MPN432	519824	520972	-
MPN433	520867	521679	-
MPN434	521837	523624	-
MPN435	523680	524867	-
MPN436	524877	528611	-
MPN437	528920	530638	-
MPN438	530856	531893	-
MPN439	531949	532662	-
MPN440	532818	534998	-
MPN441	535468	535776	+
MPN442	536089	536541	-
MPN443	536526	537755	-
MPN444	537762	541739	-
MPN445	541794	542603	+
MPN446	542664	543281	-
MPN447	543304	546360	-
MPN448	546424	547281	-
MPN449	547332	548678	-
MPN450	548690	549589	-
MPN451	549513	550622	-
MPN452	550662	552680	-
MPN453	552694	553518	-
MPN454	553539	554120	-
MPN455	554209	555072	-
MPN456	555398	558415	-
MPN457	558798	559787	-
MPN458	559729	560202	-
MPN459	560123	561898	-
MPN460	562658	564355	-
MPN461	564390	565085	+
MPN462	565237	566049	+
MPN463	566124	566597	+
MPN464	566891	568228	+
MPN464a	568625	569155	+
MPN465	568645	569244	-
MPN466	569288	569710	-
MPN467	569740	570045	-
MPN468	570782	571408	+
MPN468a	570441	570647	+
MPN469	572254	573063	-
MPN470	573026	574090	-
MPN471	574090	574251	-
MPN472	574270	575151	-
MPN473	575157	575963	-
MPN474	575950	576942	-
